ID,品名,英文名,官方建議售價,酒精濃度,官方簡述,色澤,風味,口感,飲用建議,官方頁面
13,噶瑪蘭經典獨奏 Vinho葡萄酒桶 威士忌原酒,Kavalan Solist Vinho Barrique Single Cask Strength,"NTD 3,500",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,深秋金黃色,綻放香瓜果香與焦糖香甜，結合葡萄酒特質之豐富融合體。呈現細緻既平衡之嗅感、完美呈現水果與橡木絕妙,甘甜口感，杏仁、黑巧克力在舌尖繚繞。尾韻潔淨，整體風味醇厚濃郁、豐富口感令人回味無窮,適合純飲,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=13
14,噶瑪蘭經典獨奏 白蘭地桶 威士忌原酒,Kavalan Solist Brandy Single Cask Strength,"NTD 4,200",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,迷人的深琥珀色,散發出令人無法抗拒的桃子、百香果、草莓的濃郁芳香，風味美妙動人,滑順、圓潤飽滿且多層次的口感，持續在口中綿延著荔枝香甜的尾韻,適合純飲,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=14
15,噶瑪蘭經典獨奏 波特桶 威士忌原酒,Kavalan Solist Port Single Cask Strength,"NTD 3,500",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,沉穩、棕紅色,深層的堅果香融合甘橘花香，緩緩帶出波特桶獨有深藏的木質氣息,飽滿的果香氣與頂級巧克力香的完美結合，有如堅果巧克力在口中慢慢融化，體現出完美的結合，後韻繚繞,適合純飲或搭配甜點,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=15
16,噶瑪蘭經典獨奏 Amontillado雪莉桶 威士忌原酒,Kavalan Solist Amontillado Sherry Single Cask Strength,"NTD 8,000",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,飽滿的紅褐色,層次飽滿豐富且具濃厚果香，輔以無花果乾、酸甜梅香，清新雅緻的牡丹香氣與之點綴；濃郁香甜的榛果及杏仁蘊含其中，佐以淡層次太妃糖及橡木風味,酒漬櫻桃融合烤蘋果派香甜調性，咖啡、肉桂辛香帶出深厚層次。獨特柔和的雪莉口感，富有焦糖香氣，堅果與胡椒溫柔交織，尾韻綿延而悠美,適合純飲或搭配甜點，或冰淇淋上加點威士忌也別有一番風味,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=16
17,噶瑪蘭經典獨奏 Manzanilla雪莉桶 威士忌原酒,Kavalan Solist Manzanilla Sherry Single Cask Strength,"NTD 8,000",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,黑黝金黃琥珀色,整體香氣細緻豐沛，帶有清新蜜瓜芳香，綴有太妃糖及可可亞甜味，後段環繞蘋果酒與海洋清新氣息,完美平衡的酒體，淡雅鹹味與蜜瓜、薄荷清香美妙結合，清新的豐富層次賦予舌尖嶄新享受,適合純飲或搭配甜點，或冰淇淋上加點威士忌也別有一番風味,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=17
18,噶瑪蘭經典獨奏 PX雪莉桶 威士忌原酒,Kavalan Solist PX Sherry Single Cask Strength,"NTD 10,000",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,燦爛微醺稻草色,豐富黑糖漿及麥芽糖甜感，逐漸浮現絲絲迷迭香和香茅清新氣息。濃郁香甜的焦糖、絲滑巧克力，為尾韻增加一抹迷人芳甜,馥郁果香與細緻巧克力香氣，於口中完美釋放。亞熱帶熟成環境下烘托出PX雪莉桶的獨有特性，滑順蜜餞乾果香氣及悠長尾韻，多汁葡萄及蜂蜜糖漿的柔滑香甜口感，於舌尖上極致綻放。,適合純飲或搭配甜點,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=18
19,噶瑪蘭經典獨奏 Moscatel雪莉桶 威士忌原酒,Kavalan Solist Moscatel Sherry Single Cask Strength,"NTD 8,000",50-59.9%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,絢麗晶釉紅,猶如布朗尼蛋糕上的果醬，透露著花蜜般的誘惑，佐以微甜的太妃糖和焦糖風味，帶出令人垂涎的誘人香氣,濃郁平衡且帶有獨特乾果香味，絲絨般的奶油香甜巧克力三重奏，堆疊出富有深度的味蕾層次饗宴,適合純飲或搭配甜點,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=19
20,噶瑪蘭酒廠珍藏版 煙燻泥煤威士忌原酒,Kavalan Distillery Reserve Peated Whisky Single Cask Strength,"NTD 1,600",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,蜂蜜般金黃色,濃郁的蜂蠟與椰子香氣，襯托出熱帶水果的濃郁果香，點綴著金黃奇異果芬芳。散發著美味誘人、盈滿嗅覺的清新甘甜,入口後，滿滿奶油糖果滋味，微微煙燻泥煤在味蕾穿梭。餘韻悠長，些微辛香胡椒與紅辣椒氣息、交織的獨特經典，口感相當平衡且極富深度,適合與燒烤類或煙燻類料理一起搭配飲用,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=20
21,噶瑪蘭酒廠珍藏版蘭姆桶威士忌原酒,Kavalan Distillery Reserve Single Rum Cask Cask Strength,"NTD 1,600",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,加勒比海晚霞般的深沉金黃色,似現烤的蜂蜜蛋糕，抹上清新的香草奶油，點綴著香脆的杏仁片，富有甜美的蘋果及迷人的熱帶水果味、夾帶著一絲清爽的檸檬皮香氣,濃郁糖漿般的滑順口感，蘊含新鮮香瓜般的清甜，混合丁香與薑等香料氣息，入口後仍在齒頰留下太妃糖、葡萄乾及薄荷餅的口感，充分透過原酒體現豐富特性。尾韻細緻甘甜的尾韻融合微微辛香料氣息悠長蔓延,適合搭配甜點或調酒用,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=21
23,噶瑪蘭山川首席 雪莉風味桶,Kavalan Concertmaster Sherry Cask Finish,"NTD 1,500",40%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,初熟杏黃,先迎來極致香甜且柔和的香草及奶油太妃糖風味，後帶出渾厚豐富深色水果芳香；點綴著絲滑巧克力，再由焦糖布蕾、新鮮瓜果層層堆疊出香甜氣息，最後由特有的乾果及堅果香氣結尾，馥郁又雋永悠長,圓潤、包覆感十足，卻又滑順細緻，散發出迷人的熱帶水果風味，展現優雅平衡的完美調性,適合純飲，與甜點一起搭配飲用或調酒,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=23
25,,,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,,,,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=25
26,,,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,,,,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=26
27,,,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,,,,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=27
28,,,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,,,,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=28
29,,,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,,,,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=29
30,,,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,,,,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=30
31,,,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,,,,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=31
32,,,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,,,,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=32
34,噶瑪蘭珍選No. 2,Kavalan Distillery Select No. 2,"NTD 1,100",40%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,明亮金黃色,花香、草本香氣與香草的風味於口中綻放，另融合了溫暖的木質氣息與獨特辛香。層次豐富，尾韻悠長且芳香馥郁。,圓潤、滑順卻不失個性。追求適合日常品飲的絕佳口感。,適合純飲或調酒,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=34
35,海洋 Ocean 邦穹桶,Kavalan Puncheon Single Cask Strength,"NTD 12,000",50-63%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,深沉緋紅浪潮,現烤杏仁餅香味撲鼻而來，帶出柔和香草及甜美白桃，伴隨著一絲楓糖甜感，並襯托出甘甜果香,滑順香草、甜蜜太妃糖、點綴細緻堅果香氣，並包覆著馥郁的白桃與熱帶水果香，多層次風味如海浪般連綿入喉,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=35
36,空氣 Air 橡木新桶,Kavalan Virgin Oak Single Cask Strength,,50-63%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,甜美紫黑櫻桃,最初釋放煙燻烏梅、紫葡萄、奶油香草和濃郁的蜂蠟香氣，逐漸浮現鮮花、杏桃與水蜜桃等深邃迷人的氣息,酒體飽滿、厚實，橡木辛香點綴其中，蘊含甜美蜂蜜、秋梨和栗子風味。成熟溫和的瓜果、芭樂與肉桂香氣，交織出綿延悠長之餘韻,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=36
37,陽光 Sunlight - 法國葡萄酒桶,French Wine Cask Single Cask Strength,,50-63%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,落日琥珀餘暉,以細緻卻奔放的莓果與黑醋栗香氣主導，後交織甜椒、蘋果、焦糖和成熟水果的迷人氣息。,飽滿且多層次的熱帶水果滋味，野莓及乾果氣息不斷釋放，完美平衡的酒體，夾帶一絲絲單寧，綴以香料輕絲，細膩悠然的口韻，優美地令人著迷。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=37
38,大地 Mother Earth 煙燻泥煤,Kavalan Peated Malt Single Cask Strength,,50-63%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,豐實金黃稻穗,濃郁的蜂蠟、太妃糖與椰子香氣，襯托出噶瑪蘭酒廠獨特熱帶水果的濃郁果香，散發著美味誘人、盈滿嗅覺的馥郁甘甜,滿滿奶油糖果滋味，包覆柔化後的煙燻泥煤，交織出微微大地氣息，層次細緻豐富，口感平衡且極富深度。尾韻完美結合紅辣椒、辛香料及桂圓獨特香氣，後韻繚繞且悠長,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=38
39,噶瑪蘭酒廠珍藏版 馬德拉桶威士忌原酒,Kavalan Distillery Reserve Madeira Cask  Single Cask Strength,"NTD 1,600",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,飽滿深邃琥珀色,新鮮櫻桃、葡萄、蘋果等果味撲鼻，帶出一絲蜂蜜與肉桂辛香，多汁蜜瓜點綴成熟杏仁，襯托太妃糖及香草甜感,飽滿瓜果及杏桃香氣，無花果、橘子果醬、葡萄等風味於口中接續綻放，白胡椒、肉桂辛香料點綴，太妃糖、蜂蜜細緻甜感巧妙展現，整體口感豐富，餘韻濃郁芳香、悠長飽滿。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=39
40,金車40周年紀念限量款 : 噶瑪蘭尊典,King Car 40th Anniversary Limited Edition,"NTD 15,000",56.3%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,淡栗棕色,深色的卡本內蘇維翁紅葡萄酒引領香氣，帶點草莓、越橘、辛香料、些許剛燒烤過的橡木氣息,一入口迎來葡萄酒特有的太妃糖香和令人著迷的燻煙、胡椒及丁香等香料味，清爽豐盈，繚繞口中；勾兌少許的水，更加溫潤了酒體與口感的呈現，並多些釋放出莓果和草莓糖的氣息,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=40
41,噶瑪蘭十周年紀念酒EARTH SILVER 葡萄酒桶,Kavalan 10th Anniversary Earth Silver Wine Cask Matured Single Cask,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,深沉的琥珀色,撲鼻而來的焦糖香，交織著溫煦的辛香料氣味，帶出厚重濃郁的葡萄酒感與黑糖蜜味，並伴隨著一絲新鮮豐盈的水果與溫和的雪松木的氣息,溫潤的甜感化開了奶油太妃糖的豐富層次，顯露出蘊含的葡萄乾風味，隨之，淡淡的梅酒，點綴著隱約卻又堅實的堅果香氣,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=41
42,噶瑪蘭十周年紀念酒 SKY GOLD 葡萄酒桶,Kavalan 10th Anniversary Sky Gold Wine Cask Matured Single Cask,,,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,深沉的赤褐色,呈現芳馥的莓果香氣，像是成熟的黑莓、淋上糖漿的草莓與些微的蘋果香氣。葡萄酒桶與新酒的結合在香氣上表現得淋漓盡致，呈現煙燻肉、茴香、芫荽子與磨碎的胡椒香氣,莓果淋上太妃糖漿的馥郁口感在爆炸性的果香味之後隨之而來，伴隨著淡淡的辛香料與飽滿可口如同香草牛奶般滑順絲柔的口感,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=42
43,噶瑪蘭層豐雪莉3桶,Kavalan Triple Sherry Cask,"NTD 2,300",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,迷人棗紅褐色,整體散發出成熟的莓果果乾香氣，從中點綴些微葡萄與柑橘清香，交織出如巧克力布朗尼及太妃糖般的甜美，並透露著肉桂、丁香等辛香，融合恰到好處的橡木及迷迭香香氣，令人愉悅的純淨風味。,滑順的雪莉果乾香氣與奔放的辛香於口中繚繞，溫潤的蜜餞、焦糖及蜂蜜的香甜，如流暢的佛朗明哥舞般挑逗著味蕾；多層次口感完美交融，平衡細緻，造就無法忘懷的舌尖饗宴。,適合與甜點、黑巧克力、堅果一起享用，搭配清爽海鮮沙拉、煙燻肉品或微辣食物亦有絕佳風味展現,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=43
46,噶瑪蘭山川首席 葡萄酒風味桶,Kavalan Concertmaster Vinho Barrique Finish,"NTD 1,500",40%,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,甜潤的焦糖餅乾,初飲時散發葡萄乾與香草奶油風味，爾後展現熱帶水果芳香與柑橘輕盈調性；蔓越莓、葡萄汁的香氣四溢，杏仁糖、麥芽餅乾、威化餅的焦糖香接續而來，多層次的風味中點綴辛香料白胡椒,滑順圓潤好入口，帶有馥郁熱帶水果氣息。整體細緻易飲，同時感受雅致瓜果香，再以微甜白巧克力作結,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=46
47,噶瑪蘭葡萄酒桶,Kavalan Wine Oak,"NTD 2,300",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,秋日餘暉,前韻散發焦糖與黑巧克力香氣，初榨的帶皮葡萄果汁香氣充沛，宛如身處果園中，香甜不膩口。,新鮮的葡萄果香環繞舌尖，伴隨黑巧克力微甜香氣，尾韻帶有一絲煙燻莓果氣味，整體平衡圓潤。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=47
48,噶瑪蘭波特桶,Kavalan Port Oak,"NTD 2,300",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,明亮琥珀,木質、莓果香氣作為鋪陳，緩緩帶出糖漬後的梅子蜜餞香氣，背景繚繞清淡花香。,木罐中的風乾蜜餞，溫暖香甜，後端以黑巧克力的微苦作收，入口香氣充足，尾韻乾淨。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=48
52,噶瑪蘭大師精選RESERVE No.1,Kavalan Master's Select Reserve No.1,"NTD 3,500",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,晨光金黃,奶油及香草為前韻鋪墊，帶出焦糖烤布蕾與絲滑的蜂蜜甜感，如同精緻的法式甜點；鳳梨、蘋果、檸檬磅蛋糕的清香接續而來，香氣馥郁飽滿又清爽不膩。,淡泥煤香氣輕柔地包覆絲滑香甜的酒體，入口後隱約鹹感襯托，香甜不膩口，適合暢飲。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=52
53,噶瑪蘭大師精選RESERVE No.2,Kavalan Master's Select Reserve No.2,"NTD 3,500",,亞熱帶氣候的交替更迭伴隨橡木桶緩慢呼吸山海獨特的芬芳天地的自然精華，孕育出風味無可比擬、令世界著迷的噶瑪蘭單一麥芽威士忌。,澄亮暖陽,清雅溫潤的桂圓紅棗茶，伴著堅果木質辛香，隨之而來是葡萄、莓果、櫻桃、李子、紅蘋果的濃郁果香，如同暖玉般細膩甘醇。,入口後果香甜潤，溫潤的淡泥煤及核果香氣完美平衡，尾韻回甘，適合細品。,,https://www.kavalanwhisky.com/zh-tw/product.php?act=view&id=53
